                           TxHash                                 TxIx        Amount
615a6220435a3b74d9c4d97c83019d22437c97b0348bf3672451e53d5e8a7ea3     1        4000000 lovelace + 80 9b3e6f70c480cf3cec9d35b1756aae541aef7ee516b6e6c858c56787.7161636f696e796e706a6530 + 80 9b3e6f70c480cf3cec9d35b1756aae541aef7ee516b6e6c858c56787.7161636f696e796e706a6531 + 80 9b3e6f70c480cf3cec9d35b1756aae541aef7ee516b6e6c858c56787.7161636f696e796e706a6532 + 80 9b3e6f70c480cf3cec9d35b1756aae541aef7ee516b6e6c858c56787.7161636f696e796e706a6533 + 80 9b3e6f70c480cf3cec9d35b1756aae541aef7ee516b6e6c858c56787.7161636f696e796e706a6534 + TxOutDatumHash ScriptDataInBabbageEra "fcaa61fb85676101d9e3398a484674e71c45c3fd41b492682f3b0054f4cf3273"
620e04e535e9ae670cd47acbdbffea43437aa42f8b4d40e9197b012182d5be59     0        65318050 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
6674c5ced941116aadacc1f04098fc72a05c7d4c1fa004d0f0e405639786e0c4     1        199820998 lovelace + TxOutDatumNone
6a2e323c79d36f98b61563f119fb31de7fb7e9d844ac177f0b54075550f72390     0        700000000 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
71bfc808d77048857659b52b93e8c5ccbcc5580c7ddafda0fa069ef7b066298b     0        2000161 lovelace + TxOutDatumHash ScriptDataInBabbageEra "fcaa61fb85676101d9e3398a484674e71c45c3fd41b492682f3b0054f4cf3273"
7a6f4df7b9c3fd5a339c345ec7bff518a19e188c5008e8adec40e3ac5a35ac4e     0        2400161 lovelace + TxOutDatumHash ScriptDataInBabbageEra "fcaa61fb85676101d9e3398a484674e71c45c3fd41b492682f3b0054f4cf3273"
862c1820e878f6a9f561b67a7df535c45a4e0e2120701ef52d3474def9dbb014     0        21000000 lovelace + TxOutDatumHash ScriptDataInBabbageEra "b8249061831d8904e64611a5da1d7d8e7d71283a39d1705680f32943008a2ca1"
86abe53661bd3dd446dabfa63343bfb0f990777684c6f140e4d15beadd08a362     1        200000000 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataNumber 42)
87ed8839cb9f93e4799580b3779c4a372c232be042a21fac4f6559783ae70953     0        2000000 lovelace + TxOutDatumHash ScriptDataInBabbageEra "bb30a42c1e62f0afda5f0a4e8a562f7a13a24cea00ee81917b86b89e801314aa"
8cda6e58d56fa9278a88df19af9176644a458f4cb7222a0e365981bebdd7cbf8     1        5000000 lovelace + TxOutDatumNone
8fdb8d4d28862b5ea883ce00e49decb70b4634c500b2f83504894e8b717e1d5e     0        2400161 lovelace + TxOutDatumHash ScriptDataInBabbageEra "fcaa61fb85676101d9e3398a484674e71c45c3fd41b492682f3b0054f4cf3273"
90cbdb57b114ea1e76d4359765d9d49c422ad2ce567f899a3ce10922c01e5337     0        10000000 lovelace + TxOutDatumNone
